date,symbol_id,ewma_vol,rv5,rv10,rv21,rv63,rv126,vol_ratio_5_21,vol_ratio_21_63,vol_ratio_63_126,vov,skew,kurt,mean_r5,max_abs_r5,autocorr_sq,vix,vix_chg,vix_regime,dow,month,target,h2o_vol,symbol,realised,perfect_scale,ewma_scale,h2o_scale
2023-01-09,0,0.2105399140155619,0.19177828430227245,0.1917730703303059,0.18755422652047332,0.23946057267681573,0.23346653387095578,1.0225217946839391,0.7832363567158214,1.0256740814474636,0.08638045742441433,0.1423391586456368,-0.4690487081587409,0.0024056678866090945,0.022673186301481567,0.04633597935210671,0.21969999313354494,0.00299999237060547,0.5,0.0,0.08333333333333333,0.10890571508026443,0.192744851431626,SPY,0.10890571508026443,1.5,1.0449325061647876,1.1414053260874906
2023-01-17,0,0.18887502290516883,0.10890571508026443,0.15594769172236403,0.18280889207584497,0.22787511561473373,0.23188719853890985,0.5957353268958104,0.8022328001137176,0.9826981267208551,0.08638045742441433,0.03268763337267493,-0.2510969189390364,0.005299182842226026,0.012568542140985777,-0.0672475065095734,0.19360000610351563,-0.026099987030029304,0.5,0.25,0.08333333333333333,0.19991087254784623,0.1620928158532324,SPY,0.19991087254784623,1.1004904195360645,1.1647913875327949,1.3572470737950526
2023-01-24,0,0.19263315758059518,0.19991087254784623,0.16097330794262904,0.18026478968617424,0.22218535387394722,0.23095174545744024,1.1089845826013731,0.8113261587370163,0.9620423237497961,0.08638045742441433,0.05133942039153578,-0.9648166145741088,0.0010661684711623161,0.01845760565755268,-0.0853049375336863,0.19200000762939454,-0.0015999984741210949,0.5,0.25,0.08333333333333333,0.11994610443304728,0.1828379637430144,SPY,0.11994610443304728,1.5,1.142067143388619,1.2032512039415306
2023-01-31,0,0.17700355454037556,0.11994610443304728,0.1648505761765859,0.16834768972938366,0.21508845765186532,0.2271109751477528,0.7124903503330448,0.7826904872871671,0.9470632474363428,0.08638045742441433,0.08518862415835794,-0.5394574370669587,-1.997720423069019e-05,0.012626294868756997,-0.22752656980665256,0.19399999618530273,0.0019999885559081887,0.5,0.25,0.08333333333333333,0.1858668886947547,0.167978068352263,SPY,0.1858668886947547,1.1836427754558339,1.2429128927454205,1.309694784313408
2023-02-07,0,0.17858779110902973,0.1858668886947547,0.15641861826798595,0.17366338418360225,0.2085519717213476,0.22881342154023526,1.070271027876841,0.8327103443339245,0.9114499067296853,0.08638045742441433,-0.1325263289409351,-0.7481351628427162,0.0045608006665941205,0.014596243779882587,0.18771028701549317,0.1865999984741211,-0.007399997711181633,0.5,0.25,0.16666666666666666,0.15987925554534535,0.1645156726366195,SPY,0.15987925554534535,1.376038431312329,1.231887121923624,1.3372586117429293
2023-02-14,0,0.17339992347996958,0.15987925554534535,0.17336071738834347,0.16562645211512478,0.17619871128844833,0.22783278655775696,0.9653002494686982,0.9399980902470046,0.773368547830937,0.08638045742441433,-0.09222885022620726,-1.3313511747345443,0.0014586759744911085,0.012993697246731124,-0.07298387417769568,0.1890999984741211,0.0025000000000000022,0.5,0.25,0.16666666666666666,0.1767516281544607,0.1595494628645739,SPY,0.1767516281544607,1.2446844325968256,1.2687433511204143,1.3788827367393692
2023-02-22,0,0.17625949851375589,0.1767516281544607,0.16852672549033074,0.16395840323423136,0.1797268329586281,0.2293940100845384,1.0780272597675453,0.912264465662584,0.7834852919323982,0.08638045742441433,-0.228164566682594,-1.0544261079394315,-0.006769754826441578,0.0202647014861679,-0.4823627384161962,0.22290000915527344,0.03380001068115235,0.5,0.5,0.16666666666666666,0.0927440151757592,0.2071901846972279,SPY,0.0927440151757592,1.5,1.2481596841876323,1.0618263617144383
2023-03-01,0,0.15839519378750175,0.0927440151757592,0.14114281846090188,0.16034590771461601,0.17881958824669728,0.221992253023541,0.5783996392400933,0.896690956996304,0.805521750471781,0.08638045742441433,0.036209042696083105,-0.9977460356714758,-0.0014233001771697068,0.010739884251809544,-0.3743834264616382,0.20579999923706055,-0.017100009918212894,0.5,0.5,0.25,0.16905245371089053,0.1572936308833969,SPY,0.16905245371089053,1.301371232246287,1.3889310321823616,1.3986580306171956
2023-03-08,0,0.162289556221311,0.16905245371089053,0.1363454884779732,0.15108861398124224,0.1712968527347737,0.22298400221236514,1.1188960521663036,0.8820279623886566,0.7682024317225874,0.08638045742441433,-0.030837377069802226,-0.49107234163747204,0.0010119045809305794,0.01591050944306749,-0.2964551306174984,0.19110000610351563,-0.01469999313354492,0.5,0.5,0.25,0.20471793802656454,0.1506691997712146,SPY,0.20471793802656454,1.0746493547207008,1.355601710439028,1.4601524421319125
2023-03-15,0,0.17501866702437202,0.20471793802656454,0.1877340755637094,0.16704389093409036,0.17328372536372302,0.22345814119842833,1.2255338215711165,0.9639906493438133,0.7754639165724063,0.08638045742441433,-0.07475708752872069,-0.6325710372533582,-0.003311424177894931,0.01862218659620222,-0.5496095476955167,0.2613999938964844,0.07029998779296875,1.0,0.5,0.25,0.19337926136812988,0.2311162679854628,SPY,0.19337926136812988,1.1376607731539168,1.257008773637638,0.9519018367579299
2023-03-22,0,0.1801868453185143,0.19337926136812988,0.19912932089113825,0.18072758169636619,0.1696052901408618,0.21665277397362198,1.0700041440991521,1.065577503781085,0.7828438428464879,0.08638045742441433,-0.02663777750267875,-0.9979822378306347,0.004394409371340846,0.017393029987518422,-0.6173233578757317,0.22260000228881835,-0.038799991607666034,0.5,0.5,0.25,0.13361425650385217,0.1678140966194571,SPY,0.13361425650385217,1.5,1.2209548350275428,1.310974491605923
2023-03-29,0,0.1676502535430326,0.13361425650385217,0.16620515676169723,0.17349864289533387,0.16747142240634938,0.2141259805894517,0.7701170122953488,1.0359895461708097,0.78211631276751,0.08638045742441433,-0.08521074944285907,-0.9309917122873208,-0.0016664503882665195,0.017193389913563416,0.06211803370616614,0.19120000839233398,-0.031399993896484374,0.5,0.5,0.25,0.15612456620570658,0.1626148580821904,SPY,0.15612456620570658,1.4091312171214134,1.3122556951190667,1.3528899056001724
2023-04-05,0,0.1637208360668896,0.15612456620570658,0.145305969791329,0.17832513773836448,0.1670958734500614,0.20810963335131025,0.8755050924719868,1.067202523057274,0.8029223383810713,0.08638045742441433,-0.24124132177603327,-1.076498473448801,0.006500904833424083,0.014430278840542501,-0.38159369775128216,0.19079999923706054,-0.0004000091552734397,0.5,0.5,0.3333333333333333,0.04480824207790918,0.1590519066961988,SPY,0.04480824207790918,1.5,1.3437507728711882,1.3831962443569863
2023-04-13,0,0.14216449735747488,0.04480824207790918,0.11485351263899717,0.15053744871348745,0.15831550910365666,0.19895411145777528,0.29765511811742673,0.9508698772836176,0.7957388160699383,0.08638045742441433,-0.246267503655125,-0.29277062861081005,-0.0003036791463385359,0.004084373336845933,-0.008755100448913858,0.17799999237060546,-0.012800006866455077,0.5,0.75,0.3333333333333333,0.09872460826483544,0.1162416759700138,SPY,0.09872460826483544,1.5,1.5,1.5
